"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LMAN1",6.64202450091047e-219,0.722744955970436,0.533,0.129,1.09845801196057e-214,"2","LMAN1"
"ID2",2.96998571104117e-217,0.873020807304551,0.443,0.087,4.91176236891989e-213,"2","ID2"
"GAS6",4.99182555062575e-217,0.415674463069163,0.282,0.024,8.25548109562487e-213,"2","GAS6"
"MANF",1.75798126204738e-214,0.830983943962513,0.586,0.163,2.90734941117396e-210,"2","MANF"
"GNLY",1.94315343660456e-207,1.53235068633353,0.472,0.109,3.21358715345663e-203,"2","GNLY"
"CD63",1.48195865059583e-205,0.832241022683922,0.718,0.282,2.45086321635539e-201,"2","CD63"
"MYDGF",9.6396270333998e-205,1.01907421391001,0.642,0.218,1.59420151878366e-200,"2","MYDGF"
"GZMB",2.53487977159034e-204,1.43554067755641,0.461,0.107,4.1921841662561e-200,"2","GZMB"
"TXNDC15",6.28849629575236e-198,0.556751029982688,0.44,0.092,1.03999151739153e-193,"2","TXNDC15"
"HM13",2.48938975495919e-194,0.637400376262959,0.56,0.162,4.1169527767515e-190,"2","HM13"
"SELK",8.63945606470942e-194,0.87657674026386,0.748,0.332,1.42879324398164e-189,"2","SELK"
"TRBC1",1.80455377558921e-192,1.04102866094277,0.458,0.109,2.98437103406944e-188,"2","TRBC1"
"SPAG4",1.23239114815043e-191,0.353527192416562,0.253,0.022,2.03812848081118e-187,"2","SPAG4"
"HERPUD1",1.54934381013923e-189,1.36139031414202,0.83,0.479,2.56230479320827e-185,"2","HERPUD1"
"ERLEC1",3.08793622510792e-186,0.672033653274577,0.51,0.139,5.10682892908348e-182,"2","ERLEC1"
"LAG3",2.87069882952892e-183,0.564336353554403,0.25,0.024,4.74756172427492e-179,"2","LAG3"
"SEC61B",5.48255980886196e-182,0.973467815982393,0.792,0.408,9.06705741189591e-178,"2","SEC61B"
"FYB",4.16255086081462e-180,0.521821161950839,0.29,0.038,6.88402661361522e-176,"2","FYB"
"CHPF",4.85213081695326e-180,0.375397320611442,0.282,0.033,8.0244539450773e-176,"2","CHPF"
"RABAC1",6.69123732768345e-180,0.81703224642601,0.758,0.358,1.10659682925229e-175,"2","RABAC1"
"TIGIT",1.49349792468726e-178,0.500047943940964,0.289,0.038,2.4699468678478e-174,"2","TIGIT"
"CD59",1.87637320619876e-178,0.547387773860731,0.441,0.104,3.10314600841152e-174,"2","CD59"
"LAT",1.91320550804639e-178,0.467470531359808,0.304,0.043,3.16405926920711e-174,"2","LAT"
"PIM2",3.64986576529091e-177,0.942497315784402,0.671,0.269,6.0361480026381e-173,"2","PIM2"
